"type";"nameDe";"nameFr";"address";"location";"zip";"descriptionDe";"descriptionFr";"coordinates";"offers";"hasWalkIn";"appointmentType";"externalLinkDe";"externalLinkFr";"vacTypes";"openingHoursDe";"openingHoursFr";"dateTimeRangeStart";"dateTimeRangeStop"
"Impftruck";"Impftruck - Brienz";"Camion de vaccination - Brienz";"Hauptstrasse 283";"Brienz";"3855";;;"46.74620846224636, 8.057652225555504";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00";"de 08:00 à 14:00 et 15:00 à 18:00";"2022-02-05T08:00:00";"2022-02-05T18:00:00"
"Impftruck";"Impftruck - Langnau";"Camion de vaccination - Langnau";"Güterstrasse 20";"Langnau";"3550";"Kuperschmiede";"Kuperschmiede";"46.93700692402409, 7.7872775562480445";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und von 15:00 bis 18:00";"de 08:00 à 14:00 et de 15:00 à 18:00";"2022-01-10T08:00:00";"2022-01-10T18:00:00"
"Impftruck";"Impftruck - Langnau";"Camion de vaccination - Langnau";"Güterstrasse 20";"Langnau";"3550";"Kuperschmiede";"Kuperschmiede";"46.93700692402409, 7.7872775562480445";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und von 15:00 bis 18:00";"de 08:00 à 14:00 et de 15:00 à 18:00";"2022-01-11T08:00:00";"2022-01-11T18:00:00"
"Impftruck";"Impftruck - Langnau";"Camion de vaccination - Langnau";"Güterstrasse 20";"Langnau";"3550";"Kuperschmiede";"Kuperschmiede";"46.93700692402409, 7.7872775562480445";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und von 15:00 bis 18:00";"de 08:00 à 14:00 et de 15:00 à 18:00";"2022-02-08T08:00:00";"2022-02-08T18:00:00"
"Impftruck";"Impftruck - Herzogenbuchsee";"Camion de vaccination - Herogenbuchsee";"Mittelholzstrasse 2";"Herzogenbuchsee";"3360";"Dreifachturnhalle Mittelholz";"Gymnase Mittelholz";"47.18753481454915, 7.716203469745275";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und von 15:00 bis 18:00 ";"de 08:00 à 14:00 et de 15:00 à 18:00";"2022-01-12T08:00:00";"2022-01-12T18:00:00"
"Impftruck";"Impftruck - Herzogenbuchsee";"Camion de vaccination - Herzogenbuchsee";"Mittelholzstrasse 2";"Herzogenbuchsee";"3360";"Dreifachturnhalle Mittelholz";"Gymnase Mittelholz";"47.18753481454915, 7.716203469745275";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und von 15:00 bis 18:00 ";"de 08:00 à 14:00 et de 15:00 à 18:00";"2022-02-09T08:00:00";"2022-02-09T18:00:00"
"Impftruck";"Impftruck - Burgdorf";"Camion de vaccination - Burgdorf ";"Sägegasse 19";"Burgdorf";"3400";"Markthalle Burgdorf AG";"Halle de marché Burgdorf AG";"47.054712526928384, 7.630698167890028";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und von 15:00 bis 18:00";"de 08:00 à 14:00 et de 15:00 à 18:00";"2022-01-14T08:00:00";"2022-01-14T18:00:00"
"Impftruck";"Impftruck - Burgdorf";"Camion de vaccination - Burgdorf ";"Sägegasse 19";"Burgdorf";"3400";"Markthalle Burgdorf AG";"Halle de marché Burgdorf AG";"47.054712526928384, 7.630698167890028";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und von 15:00 bis 18:00";"de 08:00 à 14:00 et de 15:00 à 18:00";"2022-01-15T08:00:00";"2022-01-15T18:00:00"
"Impftruck";"Impftruck - Burgdorf";"Camion de vaccination - Burgdorf ";"Sägegasse 19";"Burgdorf";"3400";"Markthalle Burgdorf AG";"Halle de marché Burgdorf AG";"47.054712526928384, 7.630698167890028";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und von 15:00 bis 18:00";"de 08:00 à 14:00 et de 15:00 à 18:00";"2022-02-12T08:00:00";"2022-02-12T18:00:00"
"Impftruck";"Impftruck - Moutier";"Camion de vaccination - Moutier";"Sociét’halle, Av. de la Liberté 9";"Moutier";"2740";;;"47.27913665405507, 7.373302083238976";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00";"de 08:00 à 14:00 et 15:00 à 18:00";"2022-01-17T08:00:00";"2022-01-17T18:00:00"
"Impftruck";"Impftruck - Moutier";"Camion de vaccination - Moutier";"Sociét’halle, Av. de la Liberté 9";"Moutier";"2740";;;"47.27913665405507, 7.373302083238976";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00";"de 08:00 à 14:00 et 15:00 à 18:00";"2022-02-14T08:00:00";"2022-02-14T18:00:00"
"Impftruck";"Impftruck - Tavannes";"Camion de vaccination - Tavannes";"Place de la Gare";"Tavannes";"2710";;;"47.219908751437366, 7.201039183237765";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00";"de 08:00 à 14:00 et 15:00 à 18:00";"2022-01-18T08:00:00";"2022-01-18T18:00:00"
"Impftruck";"Impftruck - Tavannes";"Camion de vaccination - Tavannes";"Place de la Gare";"Tavannes";"2710";;;"47.219908751437366, 7.201039183237765";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00";"de 08:00 à 14:00 et 15:00 à 18:00";"2022-02-15T08:00:00";"2022-02-15T18:00:00"
"Impftruck";"Impftruck - St-Imier";"Camion de vaccination - St-Imier";"Marne de la Coudre 6";"St-Imier";"2610";;;"47.153412803579606, 7.003925212072417";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00 ";"de 08:00 à 14:00 et 15:00 à 18:00 ";"2022-01-19T08:00:00";"2022-01-19T18:00:00"
